
28 Marzo;Qatar, Losail;13:40;18:00;13:15;17:20;18:00;19:00
04 Aprile;Doha, Losail;14:40;19:00;14:15;18:20;19:00;19:00
18 Aprile;Portogallo, Algarve;10:55;15:10;10:55;13:40;15:10;14:00
02 Maggio;Spagna, Jerez;09:55;14:10;09:55;13:30;14:10;14:00
16 Maggio;Francia, Le Mans;09:55;14:10;09:55;13:30;14:10;14:00
30 Maggio;Italia, Mugello;09:55;14:10;09:55;13:30;14:10;14:00
06 Giugno;Catalogna, Montmeló;09:55;14:10;09:55;13:30;14:10;14:00
20 Giugno;Germania, Sachsenring;09:55;14:10;09:55;13:30;14:10;14:00
27 Giugno;Olanda, Assen;09:55;14:10;09:55;13:30;14:10;14:00
11 Luglio;Finlandia, KymiRing;09:55;14:10;09:55;13:30;14:10;14:00
15 Agosto;Austria, Red Bull Ring;09:55;14:10;09:55;13:30;14:10;14:00
29 Agosto;Gran Bretagna, Silverstone;10:55;15:10;10:55;14:30;15:10;14:00
12 Settembre;Spagna, Aragón;09:55;14:10;09:55;13:30;14:10;14:00
19 Settembre;San Marino, Misano;09:55;14:10;09:55;13:30;14:10;14:00
03 Ottobre;Giappone, Motegi;02:55;07:10;02:55;06:30;07:10;08:00
10 Ottobre;Thailandia, Buriram;04:55;09:10;04:55;08:30;09:10;10:00
24 Ottobre;Australia, Phillip Island;00:55;05:10;00:55;04:30;05:10;06:00
31 Ottobre;Malesia, Sepang;03:55;08:10;03:55;07:30;08:10;08:00
14 Novembre;Valencia, Ricardo Tormo;09:55;14:10;09:55;13:30;14:10;14:00
/;Argentina, Termas de Río Hondo;;;;;;
/;America, Austin;;;;;;
